H,B,S,V,R,C_hat,runtime,sat,alpha
0.4,0.9694444444444444,1.0,0.18095238095238098,0.7669242687900143,0.03971268897918767,0.0004737377166748047,True,4.0
0.4,0.9583333333333334,0.9979166666666667,0.1784313725490196,0.7797926237033954,0.03835064625199652,0.0014848709106445312,False,4.0
0.4,0.9819444444444444,1.0,0.1803921568627451,0.7885843691646167,0.03961458766564479,0.0012600421905517578,False,4.0
0.4,0.9875,1.0,0.1784313725490196,0.7635007108231167,0.039966184015580365,0.0013751983642578125,True,4.0
0.4,0.9833333333333333,1.0,0.17969187675070028,0.7478697997777273,0.0404371118558907,0.0007688999176025391,True,4.0
0.4,0.9986111111111111,1.0,0.17983193277310924,0.7637187180648509,0.04072807500872868,0.001191854476928711,True,4.0
0.4,0.9930555555555556,1.0,0.1788515406162465,0.7881823563485552,0.03972962150499369,0.00013709068298339844,True,4.0
0.4,0.9986111111111111,1.0,0.18249299719887954,0.7914378214774587,0.0406912340459722,0.0011599063873291016,True,4.0
0.4,0.9444444444444444,1.0,0.18011204481792717,0.777448156659891,0.03828090825874697,0.0011830329895019531,True,4.0
0.4,0.9986111111111111,1.0,0.17829131652661062,0.7656984517019048,0.04033388463148654,0.00022602081298828125,True,4.0
0.4,0.9680555555555556,1.0,0.17955182072829132,0.7664770910980246,0.039358821658827835,0.00019097328186035156,True,4.0
0.4,0.9791666666666666,1.0,0.17871148459383754,0.7632830906013972,0.03969602703178519,0.00031304359436035156,True,4.0
0.4,0.9555555555555556,1.0,0.17787114845938376,0.791713253597376,0.037944859362164005,0.0001647472381591797,True,4.0
0.4,0.9902777777777778,1.0,0.17773109243697477,0.7769603870975464,0.03961892611244652,0.0001239776611328125,True,4.0
0.4,0.9902777777777778,1.0,0.18067226890756302,0.7887186804690387,0.04000981023684103,0.0014510154724121094,True,4.0
0.4,0.9819444444444444,1.0,0.18165266106442576,0.7769603870975464,0.04015234714027909,0.0015628337860107422,True,4.0
0.4,0.9986111111111111,1.0,0.18081232492997198,0.7728924357754351,0.04073821907963843,0.0012021064758300781,True,4.0
0.4,0.9888888888888889,1.0,0.17969187675070028,0.773245894687997,0.040083624117283397,0.0006799697875976562,True,4.0
0.4,0.9416666666666667,1.0,0.18137254901960784,0.7704467531022614,0.0385874328695798,0.00047206878662109375,True,4.0
0.4,0.9875,1.0,0.18305322128851542,0.7702163873074612,0.04084586759992606,0.001062154769897461,True,4.0
0.4,0.9902777777777778,1.0,0.1781512605042017,0.7763534536776627,0.03972615662407636,0.0001480579376220703,True,4.0
0.4,0.9777777777777777,1.0,0.1799719887955182,0.762093030694977,0.03994627130499623,0.0014400482177734375,True,4.0
0.4,0.9625,1.0,0.17941176470588235,0.7854061452471894,0.038687853394616625,0.00011491775512695312,True,4.0
0.4,0.9888888888888889,0.9979166666666667,0.18137254901960784,0.7763534536776627,0.04030360996158326,9.703636169433594e-05,True,4.0
0.4,0.9916666666666667,1.0,0.17703081232492998,0.7832056595232141,0.03937976734786924,0.0001442432403564453,True,4.0
0.4,0.9444444444444444,1.0,0.17829131652661062,0.8051518877054398,0.037312372226618956,0.0034818649291992188,True,4.0
0.4,0.9791666666666666,1.0,0.1803921568627451,0.7856677427196752,0.03956704535038532,0.0006968975067138672,True,4.0
0.4,0.9833333333333333,1.0,0.17969187675070028,0.7789235099832073,0.03973122297701611,0.0005538463592529297,True,4.0
0.4,0.9791666666666666,1.0,0.17941176470588235,0.7752686496268187,0.03958252157113086,0.00022792816162109375,True,4.0
0.4,0.9777777777777777,1.0,0.18025210084033613,0.7585904163588533,0.04008812998329258,0.00022292137145996094,True,4.0
0.4,0.9958333333333333,1.0,0.17983193277310924,0.7592198960397013,0.04071864759019973,0.0009989738464355469,True,4.0
0.4,0.9833333333333333,1.0,0.17801120448179272,0.7972192185354948,0.03895893250227978,0.0003731250762939453,True,4.0
0.4,0.9708333333333333,1.0,0.17829131652661062,0.7667004749968371,0.03918970079973039,0.0005390644073486328,True,4.0
0.4,0.9944444444444445,1.0,0.17801120448179272,0.7673730926962027,0.040064490852728896,0.0009291172027587891,True,4.0
0.4,0.9861111111111112,1.0,0.1784313725490196,0.7852755638170698,0.03942319428343724,0.0022258758544921875,False,4.0
0.4,0.9819444444444444,1.0,0.17983193277310924,0.7739559354378147,0.039817217153495954,0.0012111663818359375,True,4.0
0.4,0.9458333333333333,1.0,0.17619047619047618,0.7834624249303399,0.03737602262340694,0.001811981201171875,False,4.0
0.4,0.9638888888888889,1.0,0.18249299719887954,0.783977632842391,0.03944062381089633,0.002476930618286133,False,4.0
0.4,0.9611111111111111,1.0,0.17983193277310924,0.7713726213546328,0.03902927505271644,0.000186920166015625,True,4.0
0.4,0.9958333333333333,1.0,0.17969187675070028,0.7818033070355602,0.04017124995683026,0.0002827644348144531,True,4.0
0.4,0.9944444444444445,1.0,0.17675070028011206,0.7789235099832073,0.03952249895088306,0.0006020069122314453,True,4.0
0.4,0.975,1.0,0.1773109243697479,0.7773260279186721,0.03890747178361356,0.00014209747314453125,True,4.0
0.4,0.9875,1.0,0.18221288515406162,0.7949285710451574,0.04009858252402411,0.0007851123809814453,True,4.0
0.4,0.9430555555555555,0.9979166666666667,0.1788515406162465,0.7669242687900143,0.038103626042591786,0.00042700767517089844,True,4.0
0.4,0.9694444444444444,0.9979166666666667,0.1799719887955182,0.7632830906013972,0.03949663328289422,0.00040411949157714844,True,4.0
0.4,0.9944444444444445,1.0,0.17899159663865546,0.7834624249303399,0.039921716510547794,0.0001857280731201172,True,4.0
0.4,0.9805555555555555,1.0,0.18151260504201683,0.7640464578991862,0.04035793884915897,0.0007920265197753906,True,4.0
0.4,0.9986111111111111,1.0,0.17969187675070028,0.7832056595232141,0.04025162396706398,0.00040078163146972656,True,4.0
0.4,0.9972222222222222,1.0,0.18053221288515406,0.7950704120685455,0.04011669688126532,0.0013990402221679688,True,4.0
0.4,0.9847222222222223,0.9979166666666667,0.17759103641456583,0.7718382246727797,0.03939716689503933,0.0004749298095703125,True,4.0
0.4,0.9708333333333333,1.0,0.18123249299719887,0.7807937183036922,0.03952092775896897,0.002105236053466797,True,4.0
0.4,0.9930555555555556,1.0,0.18081232492997198,0.7701013683323302,0.040575458879859416,0.0003371238708496094,True,4.0
0.4,0.9944444444444445,1.0,0.17759103641456583,0.7579641288297914,0.04018385154606427,0.00045490264892578125,True,4.0
0.4,0.9444444444444444,1.0,0.17983193277310924,0.7785529611023617,0.03819763099601672,0.0011060237884521484,True,4.0
0.4,0.9569444444444445,0.9979166666666667,0.1799719887955182,0.7724227614357958,0.03878632224351554,0.0002980232238769531,True,4.0
0.4,0.9791666666666666,1.0,0.18207282913165268,0.7814237056713425,0.04003082457640996,0.0003058910369873047,True,4.0
0.4,0.9958333333333333,1.0,0.18137254901960784,0.7724227614357958,0.04076156962689943,0.0012717247009277344,True,4.0
0.4,0.9791666666666666,1.0,0.17913165266106443,0.7752686496268187,0.039520722163525666,0.00021982192993164062,True,4.0
0.4,0.9972222222222222,1.0,0.17941176470588235,0.7815501047457912,0.040170277034608536,0.00032806396484375,True,4.0
0.4,0.9888888888888889,1.0,0.18515406162464987,0.7799173014277595,0.04114725972407531,0.0015749931335449219,True,4.0
0.4,0.9555555555555556,0.9979166666666667,0.1803921568627451,0.7824386852485572,0.03860230806985163,0.00032806396484375,True,4.0
0.4,0.9986111111111111,1.0,0.1781512605042017,0.7731279599697445,0.04013333197538691,0.0003409385681152344,True,4.0
0.4,0.9944444444444445,1.0,0.1819327731092437,0.7928215494823337,0.04036587802397913,0.0021140575408935547,False,4.0
0.4,0.9791666666666666,0.9979166666666667,0.17955182072829132,0.7668123205533475,0.03972009634008571,0.00040602684020996094,True,4.0
0.4,0.9472222222222222,1.0,0.18095238095238098,0.7675981261544046,0.03878757694635376,0.002084970474243164,True,4.0
0.4,0.9888888888888889,1.0,0.18123249299719887,0.7892574714090229,0.040065514542761464,0.0005190372467041016,True,4.0
0.4,0.9805555555555555,1.0,0.18095238095238098,0.7799173014277595,0.03987463164526291,0.0002319812774658203,True,4.0
0.4,0.9833333333333333,1.0,0.18165266106442576,0.8034593785907267,0.03961832982599987,0.0010039806365966797,True,4.0
0.4,0.9791666666666666,1.0,0.17801120448179272,0.7856677427196752,0.03904480951656812,0.00026297569274902344,True,4.0
0.4,0.9736111111111111,1.0,0.18123249299719887,0.7889877659976448,0.039452471772608244,0.0002999305725097656,True,4.0
0.4,0.9333333333333333,1.0,0.18081232492997198,0.7660315464103313,0.0382231392622041,0.0015769004821777344,False,4.0
0.4,0.9833333333333333,1.0,0.18081232492997198,0.7910258905415927,0.03970881528796634,0.001519918441772461,True,4.0
0.4,0.9597222222222223,1.0,0.18221288515406162,0.7815501047457912,0.039263281800633175,0.0003342628479003906,True,4.0
0.4,0.9694444444444444,1.0,0.17983193277310924,0.782821552018485,0.03911486764791901,0.0003027915954589844,True,4.0
0.4,0.9861111111111112,1.0,0.1799719887955182,0.774550849227806,0.04000389898179113,0.0002639293670654297,True,4.0
0.4,0.9986111111111111,1.0,0.17829131652661062,0.7660315464103313,0.04032627717779454,0.0019478797912597656,False,4.0
0.4,0.9944444444444445,1.0,0.18221288515406162,0.7802921191796863,0.04071255359640038,0.00019669532775878906,True,4.0
0.4,0.9972222222222222,1.0,0.18165266106442576,0.7592198960397013,0.04118827331252704,0.0003058910369873047,True,4.0
0.4,0.9541666666666667,1.0,0.17913165266106443,0.7815501047457912,0.038375896566178916,0.0007319450378417969,True,4.0
0.4,0.9958333333333333,1.0,0.17829131652661062,0.7768387543587616,0.039969511031349596,0.00025391578674316406,True,4.0
0.4,0.9638888888888889,1.0,0.1784313725490196,0.7611278485084968,0.03906315421169918,0.0006191730499267578,True,4.0
0.4,0.9944444444444445,0.9979166666666667,0.1784313725490196,0.7702163873074612,0.040011023735379105,0.0009341239929199219,True,4.0
0.4,0.9819444444444444,1.0,0.18123249299719887,0.7931002829955554,0.039698893770038615,0.00022983551025390625,True,4.0
0.4,0.9847222222222223,1.0,0.1784313725490196,0.7439008390379076,0.04030168186565442,0.00026416778564453125,True,4.0
0.4,0.9694444444444444,1.0,0.1788515406162465,0.7875153818667219,0.038799472979856316,0.00024199485778808594,True,4.0
0.4,0.9777777777777777,1.0,0.18221288515406162,0.789934468061769,0.03981457814959597,0.0002529621124267578,True,4.0
0.4,0.9708333333333333,1.0,0.18025210084033613,0.7888531459476381,0.039130043238644885,0.00010800361633300781,True,4.0
0.4,0.9875,1.0,0.17787114845938376,0.7821841256346787,0.03942303402496067,0.0002970695495605469,True,4.0
0.4,0.9958333333333333,1.0,0.18179271708683473,0.7850148337809912,0.04056778654581312,0.0025353431701660156,True,4.0
0.4,0.9888888888888889,0.9958333333333333,0.17773109243697477,0.771954906104499,0.03950980658046226,0.00036716461181640625,True,4.0
0.4,0.9666666666666667,1.0,0.18389355742296917,0.7871170083203656,0.03978783164520424,0.0014851093292236328,True,4.0
0.4,0.9986111111111111,1.0,0.1810924369747899,0.7952124273940508,0.04029404463331517,0.00027489662170410156,True,4.0
0.4,0.9875,1.0,0.18347338935574228,0.7891225410179313,0.04050700213268087,0.0001609325408935547,True,4.0
0.4,0.9847222222222223,1.0,0.17983193277310924,0.7675981261544046,0.040073476491201014,0.0001919269561767578,True,4.0
0.4,0.9611111111111111,1.0,0.1781512605042017,0.7696423799346825,0.038702319133985495,0.0003941059112548828,True,4.0
0.4,0.9666666666666667,1.0,0.17619047619047618,0.7758701082564082,0.03836259509415525,0.0002841949462890625,True,4.0
0.4,0.9611111111111111,1.0,0.18095238095238098,0.777448156659891,0.039138210069829336,0.001194000244140625,True,4.0
0.4,0.9861111111111112,1.0,0.17899159663865546,0.7645946476057783,0.04001045948810233,0.00045108795166015625,True,4.0
0.4,0.9972222222222222,1.0,0.18235294117647058,0.7753887007260005,0.04097050062172152,0.00010800361633300781,True,4.0
0.4,0.9791666666666666,1.0,0.17913165266106443,0.7763534536776627,0.03949658719290835,0.0008170604705810547,True,4.0
0.4,0.9930555555555556,1.0,0.17983193277310924,0.7761115376509182,0.04021889404155368,0.0004889965057373047,True,4.0
0.4,0.9819444444444444,1.0,0.18095238095238098,0.7850148337809912,0.03981707855533105,0.0011878013610839844,True,4.0
0.4,0.9861111111111112,1.0,0.1781512605042017,0.7691851207129448,0.03971928992796683,0.0008080005645751953,True,4.0
0.4,0.9763888888888889,1.0,0.17759103641456583,0.7633918524288645,0.03933281621803765,0.002396106719970703,True,4.0
0.4,0.9680555555555556,1.0,0.17955182072829132,0.7765958585154629,0.03913464982472026,0.0015101432800292969,False,4.0
0.4,0.975,1.0,0.17913165266106443,0.7533652761772713,0.03984414841583596,0.00011897087097167969,True,4.0
0.4,0.9819444444444444,1.0,0.17899159663865546,0.7706775575523269,0.03970453177058884,0.00032782554626464844,True,4.0
0.4,0.9583333333333334,1.0,0.17955182072829132,0.7705621003803111,0.038873643404895554,0.0001239776611328125,True,4.0
0.4,0.9930555555555556,1.0,0.1792717086834734,0.7626325370798966,0.040400200705150636,0.00022411346435546875,True,4.0
0.4,0.9847222222222223,1.0,0.17703081232492998,0.7768387543587616,0.03924411912535513,0.0013010501861572266,False,4.0
0.4,0.9861111111111112,0.9979166666666667,0.18277310924369747,0.7744316310824302,0.040544613021068786,0.00017571449279785156,True,4.0
0.4,1.0,1.0,0.17871148459383754,0.7727748458038339,0.040323561550703525,0.0005717277526855469,True,4.0
0.4,0.9527777777777777,1.0,0.18291316526610643,0.7790472822152982,0.039184029636165206,0.0007128715515136719,True,4.0
0.4,0.9875,0.9979166666666667,0.17899159663865546,0.7792952123584792,0.039652996755932444,0.0005660057067871094,True,4.0
0.4,1.0,1.0,0.18011204481792717,0.7816766384273302,0.0404365293650821,0.0007398128509521484,True,4.0
0.4,0.9944444444444445,1.0,0.17955182072829132,0.7875153818667219,0.039955866538156755,0.00016689300537109375,True,4.0
0.4,0.9305555555555556,1.0,0.18179271708683473,0.793379687509291,0.0377317148189828,0.0003292560577392578,True,4.0
0.4,0.9791666666666666,1.0,0.1773109243697479,0.7704467531022614,0.039225568552255737,0.0015249252319335938,False,4.0
0.4,0.9888888888888889,1.0,0.17871148459383754,0.7602762198453097,0.040158653247705574,0.0005686283111572266,True,4.0
0.4,0.9555555555555556,1.0,0.17899159663865546,0.7880486578010668,0.03826213974429258,0.0002620220184326172,True,4.0
0.4,0.9833333333333333,1.0,0.17969187675070028,0.7629573826476757,0.040091046620812094,0.0003650188446044922,True,4.0
0.4,0.975,1.0,0.17787114845938376,0.798090098402345,0.038579685055207626,0.00025963783264160156,True,4.0
0.4,0.9722222222222222,1.0,0.18249299719887954,0.7877817169555442,0.03969696077847397,0.0002529621124267578,True,4.0
0.4,1.0,1.0,0.1810924369747899,0.7888531459476381,0.04049352890865499,0.0004220008850097656,True,4.0
0.4,0.9791666666666666,1.0,0.17787114845938376,0.773718790189684,0.03927691467908914,0.00046372413635253906,True,4.0
0.4,0.9861111111111112,1.0,0.1799719887955182,0.7711404898139974,0.040080927128827375,0.00014925003051757812,True,4.0
0.4,0.9444444444444444,1.0,0.17829131652661062,0.7846248154652538,0.03774154576101351,0.0006809234619140625,True,4.0
0.4,0.9916666666666667,1.0,0.1792717086834734,0.7643750770733536,0.04030385250818738,0.00013303756713867188,True,4.0
0.4,0.9666666666666667,1.0,0.1781512605042017,0.7938000603915651,0.03840180261806207,0.0001399517059326172,True,4.0
0.4,0.9513888888888888,1.0,0.1773109243697479,0.7939405241567099,0.037613654530301806,0.00039696693420410156,True,4.0
0.4,0.9458333333333333,1.0,0.18221288515406162,0.7910258905415927,0.03849034811372815,0.0001881122589111328,True,4.0
0.4,0.9819444444444444,1.0,0.17871148459383754,0.759114759573873,0.039902968899114676,0.0016031265258789062,True,4.0
0.4,0.9763888888888889,1.0,0.17703081232492998,0.773718790189684,0.038980457000367646,0.0006699562072753906,False,4.0
0.4,0.9652777777777778,1.0,0.17717086834733892,0.7769603870975464,0.03849699920593479,0.0010440349578857422,True,4.0
0.4,0.975,1.0,0.17983193277310924,0.7887186804690387,0.03920932695343719,0.00030303001403808594,True,4.0
0.4,0.9972222222222222,1.0,0.1799719887955182,0.7579641288297914,0.040836344281677116,0.0008451938629150391,True,4.0
0.4,0.9458333333333333,1.0,0.18011204481792717,0.7921276276789383,0.03802318039694019,0.0005669593811035156,True,4.0
0.4,0.9916666666666667,1.0,0.1792717086834734,0.7721886073666916,0.040126153947555435,0.0009200572967529297,True,4.0
0.4,0.9888888888888889,1.0,0.17787114845938376,0.7801670488609724,0.03952321371825264,0.0001480579376220703,True,4.0
0.4,0.9861111111111112,0.9979166666666667,0.17955182072829132,0.7653662627780138,0.04003456566520576,0.0013027191162109375,True,4.0
0.4,0.9583333333333334,1.0,0.18375350140056024,0.7950704120685455,0.039240156556002985,0.0004639625549316406,True,4.0
0.4,0.9847222222222223,1.0,0.18137254901960784,0.7812974408855919,0.04010595420496355,0.0011966228485107422,True,4.0
